112 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,June 29 2014,June 30 2014,July 01 2014,July 02 2014,July 03 2014,July 04 2014,July 05 2014
EAST LEG,6670,8950,9320,9339,9340,6015,7300
NORTH LEG,18716,28720,29960,29213,28677,18325,19581
SOUTH LEG,18655,27076,28073,27927,27075,18691,19058
WEST LEG,5345,7238,7601,7707,8452,4994,5729
TOTAL,49386,71984,74954,74186,73544,48025,51668
