112 and Canyon
,Sunday,,,Monday,,,Tuesday,,,Wednesday,,,Thursday,,,Friday,,,Saturday,,
,June 29 2014,,,June 30 2014,,,July 01 2014,,,July 02 2014,,,July 03 2014,,,July 04 2014,,,July 05 2014,,
TIME,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3
0:00,152,138,137,110,75,110,116,90,151,122,91,144,133,85,163,145,106,149,413,303,410
1:00,67,73,82,42,54,40,66,47,68,66,59,66,59,55,64,56,61,72,200,173,200
2:00,59,62,57,29,32,41,29,32,58,33,31,47,41,31,53,58,44,62,69,69,89
3:00,24,45,37,35,42,52,36,43,86,47,33,75,49,33,81,26,23,32,32,36,46
4:00,35,36,54,58,76,172,75,77,183,71,77,176,72,64,168,35,37,73,40,29,55
5:00,44,49,81,203,269,504,203,245,518,184,259,534,178,229,488,67,56,121,45,49,92
6:00,71,77,134,480,529,743,504,544,788,482,521,810,418,464,731,111,97,176,88,92,145
7:00,170,138,212,882,864,854,890,847,844,744,785,886,681,681,809,206,164,193,191,123,188
8:00,176,160,240,965,873,749,1058,974,767,755,736,767,702,721,724,271,237,257,207,151,259
9:00,288,250,315,669,634,642,786,777,665,621,575,620,599,593,629,314,303,273,297,226,337
10:00,434,344,466,558,571,503,625,646,550,556,538,576,557,526,558,411,328,381,371,312,395
11:00,446,371,463,509,568,358,532,523,517,505,455,494,548,554,486,448,343,428,424,347,444
12:00,451,439,504,497,532,488,495,535,453,468,481,489,500,590,505,481,426,471,456,441,451
13:00,482,457,490,485,492,461,518,537,525,479,530,483,545,601,499,504,438,473,463,482,492
14:00,473,470,444,503,549,504,483,530,518,485,576,532,518,631,500,445,404,445,441,454,465
15:00,439,448,464,503,555,490,474,541,500,517,569,534,498,563,489,381,413,434,432,438,437
16:00,391,411,468,531,607,584,507,611,564,514,610,578,540,597,515,367,369,442,372,393,460
17:00,375,399,448,463,607,569,421,598,549,517,658,591,450,569,486,347,337,410,362,396,436
18:00,370,362,396,359,489,516,393,534,549,452,568,568,454,537,484,309,292,354,329,365,414
19:00,360,314,386,332,397,465,358,417,484,391,450,534,397,442,458,297,272,319,315,336,375
20:00,246,269,324,295,326,358,291,330,364,304,324,384,371,360,391,247,238,277,271,270,304
21:00,198,205,261,242,253,302,225,249,288,253,258,346,285,265,331,215,204,229,218,209,232
22:00,187,147,207,177,173,228,204,213,261,212,231,282,244,205,280,197,167,206,205,188,236
23:00,146,120,178,171,149,173,160,134,187,182,139,183,205,160,185,234,232,285,169,159,168
TOTAL,6084,5784,6848,9098,9716,9906,9449,10074,10437,8960,9554,10699,9044,9556,10077,6172,5591,6562,6410,6041,7130
