176 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,May 11 2014,May 12 2014,May 13 2014,May 14 2014,May 15 2014,May 16 2014,May 17 2014
EAST LEG,11892,13870
NORTH LEG,13840,17100
SOUTH LEG,7733,7829
WEST LEG,6822,8748
TOTAL,40287,47547
