112 and Canyon
,Sunday,,,Monday,,,Tuesday,,,Wednesday,,,Thursday,,,Friday,,,Saturday,,
,December 21 2014,,,December 22 2014,,,December 23 2014,,,December 24 2014,,,December 25 2014,,,December 26 2014,,,December 27 2014,,
TIME,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3
0:00,129,116,155,97,86,98,132,86,169,104,104,128,179,134,166,122,91,115,104,87,111
1:00,61,92,92,64,40,68,55,56,77,72,76,84,84,87,84,65,58,67,55,70,71
2:00,50,54,48,36,35,67,38,42,58,49,41,66,55,50,48,28,31,47,45,46,52
3:00,35,32,57,31,36,86,35,44,84,39,33,66,36,32,35,29,26,44,30,33,54
4:00,28,25,53,61,64,181,77,83,205,71,52,115,16,19,27,38,66,91,29,33,65
5:00,51,39,89,203,267,574,208,254,572,140,161,351,21,25,36,84,103,304,52,53,114
6:00,90,72,142,431,515,754,451,509,725,332,359,530,43,39,74,184,216,370,90,106,148
7:00,126,98,166,674,690,812,674,661,801,499,473,587,89,59,84,276,270,438,209,132,213
8:00,171,125,209,676,705,729,665,681,732,523,487,548,90,70,89,303,345,416,195,176,279
9:00,261,206,317,579,569,662,593,624,653,457,442,531,170,127,201,376,295,407,273,232,347
10:00,427,415,488,555,497,590,541,526,603,440,473,527,269,233,314,390,361,482,372,315,422
11:00,475,446,506,560,528,565,531,525,546,533,501,544,315,272,314,472,458,580,413,394,494
12:00,491,465,501,582,584,550,552,611,535,519,563,552,398,311,446,552,473,609,479,443,524
13:00,546,516,547,561,587,617,587,603,544,540,565,527,407,369,526,545,531,562,530,497,489
14:00,501,492,536,511,593,617,575,619,605,509,548,512,504,456,576,505,533,551,509,495,511
15:00,431,463,453,497,574,562,521,588,561,450,551,591,438,406,527,469,517,539,457,426,476
16:00,432,435,496,512,617,592,497,608,577,520,578,562,427,388,458,430,441,491,428,448,511
17:00,438,483,518,507,563,546,449,554,507,509,571,550,391,351,441,473,483,502,400,393,449
18:00,370,370,380,467,492,486,427,476,474,482,499,523,394,329,455,407,429,475,382,385,449
19:00,243,215,261,389,372,419,350,407,394,386,380,430,444,360,426,372,347,394,351,332,393
20:00,205,183,265,268,233,266,284,307,343,332,286,376,387,337,443,250,235,281,264,248,294
21:00,180,162,214,208,180,232,218,229,261,325,302,406,398,301,383,218,185,231,204,228,250
22:00,288,297,355,203,189,256,225,194,273,364,289,402,274,250,303,173,170,197,202,186,239
23:00,159,111,182,144,121,186,157,136,162,298,234,322,224,157,203,127,128,135,158,148,155
TOTAL,6188,5912,7030,8816,9137,10515,8842,9423,10461,8493,8568,9830,6053,5162,6659,6888,6792,8328,6231,5906,7110
