112 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,December 21 2014,,December 22 2014,,December 23 2014,,December 24 2014,,December 25 2014,,December 26 2014,,December 27 2014,
TIME,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50
0:00,74,76,52,50,53,62,55,61,72,89,50,43,70,55
1:00,52,63,33,23,27,30,51,46,44,49,32,38,45,46
2:00,34,45,17,27,13,29,23,30,28,31,19,26,26,31
3:00,36,27,12,17,9,27,16,25,9,17,14,15,32,24
4:00,16,14,19,14,19,24,25,17,18,9,17,11,17,22
5:00,15,10,18,27,21,27,18,28,7,14,11,14,16,16
6:00,25,20,41,39,51,36,40,44,14,14,25,29,22,19
7:00,24,18,83,102,85,107,83,97,9,27,35,46,26,26
8:00,57,51,114,136,153,142,117,123,38,33,71,81,59,60
9:00,77,96,151,182,144,172,164,189,46,69,102,126,69,98
10:00,188,174,249,228,250,254,251,271,78,92,163,185,144,183
11:00,270,268,291,311,287,324,300,355,112,147,211,261,226,226
12:00,318,320,312,345,331,320,381,400,162,187,270,297,239,298
13:00,380,372,357,386,349,365,388,439,152,191,286,328,308,333
14:00,340,360,392,335,357,356,455,437,167,225,294,332,309,329
15:00,330,350,363,376,369,407,405,400,149,196,325,358,278,338
16:00,318,329,396,448,430,392,369,387,119,195,298,356,258,292
17:00,279,331,509,464,492,470,377,398,111,169,333,367,245,304
18:00,224,248,463,451,329,446,269,319,124,163,272,341,186,255
19:00,122,145,317,333,289,375,187,245,112,140,228,250,169,203
20:00,113,118,218,244,187,271,175,171,139,155,148,179,149,158
21:00,112,116,147,170,142,230,183,209,114,144,137,157,150,164
22:00,141,142,117,110,136,153,137,159,99,106,101,123,108,132
23:00,82,83,72,85,90,97,95,132,62,95,79,95,80,77
TOTAL,3627,3776,4743,4903,4613,5116,4564,4982,1985,2557,3521,4058,3231,3689
