112 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,December 21 2014,December 22 2014,December 23 2014,December 24 2014,December 25 2014,December 26 2014,December 27 2014
EAST LEG,7403,9646,9729,9546,4542,7579,6920
NORTH LEG,19130,28468,28726,26891,17874,22008,19247
SOUTH LEG,18768,26594,26467,26611,16836,20893,18687
WEST LEG,5955,7838,7999,7784,3344,6106,5751
TOTAL,51256,72546,72921,70832,42596,56586,50605
