112 and Canyon
,Sunday,,,Monday,,,Tuesday,,,Wednesday,,,Thursday,,,Friday,,,Saturday,,
,December 21 2014,,,December 22 2014,,,December 23 2014,,,December 24 2014,,,December 25 2014,,,December 26 2014,,,December 27 2014,,
TIME,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27,LN 25,LN 26,LN 27
0:00,276,229,177,172,158,109,195,201,137,220,196,153,247,209,140,146,133,84,179,186,128
1:00,185,162,107,115,89,61,135,125,90,157,141,99,161,129,98,103,83,48,160,112,76
2:00,115,98,71,77,65,35,71,76,48,91,76,60,90,94,44,61,47,36,94,72,64
3:00,84,90,50,49,49,28,55,59,30,78,71,40,65,48,29,45,39,25,77,72,36
4:00,52,60,35,42,42,29,69,55,23,65,69,32,30,35,14,29,32,33,47,46,33
5:00,46,47,38,100,95,61,111,96,66,64,55,44,30,21,15,56,43,36,53,53,33
6:00,85,64,44,230,205,162,239,203,156,139,105,70,41,37,33,103,94,86,107,94,58
7:00,89,79,47,276,286,214,312,285,224,221,186,129,72,64,42,131,115,90,103,86,50
8:00,116,95,48,355,314,241,367,282,236,262,237,161,125,84,49,220,156,121,148,100,69
9:00,172,128,98,349,256,218,337,280,230,320,233,184,205,138,88,263,208,142,183,159,99
10:00,261,203,178,392,309,241,416,294,252,380,300,268,307,243,136,291,253,206,306,205,173
11:00,377,265,268,490,388,318,462,369,324,533,430,385,354,318,212,416,305,254,335,280,239
12:00,425,357,337,523,444,402,535,434,410,611,562,486,421,370,269,465,412,322,435,344,294
13:00,518,479,375,567,485,506,591,540,526,677,716,626,504,450,330,519,413,383,470,412,357
14:00,528,507,458,690,605,546,644,579,544,665,722,705,598,472,285,587,465,492,525,447,393
15:00,537,522,426,758,686,579,735,711,653,742,682,570,543,449,299,617,572,502,540,489,447
16:00,550,530,460,776,766,694,678,649,577,780,818,685,502,424,319,731,660,564,444,513,434
17:00,599,568,441,744,763,713,698,851,727,709,820,638,429,362,275,652,635,539,498,527,440
18:00,545,484,424,752,867,764,575,818,731,667,650,492,393,349,262,652,671,501,533,524,437
19:00,327,304,242,704,779,655,657,752,574,556,519,419,426,354,242,465,508,402,468,425,381
20:00,339,278,234,510,485,384,529,517,435,459,457,336,436,397,272,409,380,309,396,387,330
21:00,282,263,217,437,402,303,429,405,322,492,480,338,408,330,232,397,346,278,358,308,266
22:00,379,368,268,354,306,260,362,323,273,532,461,331,314,295,193,340,269,226,333,313,233
23:00,266,218,174,299,255,211,285,253,235,373,343,238,245,200,140,245,238,194,240,233,198
TOTAL,7153,6398,5217,9761,9099,7734,9487,9157,7823,9793,9329,7489,6946,5872,4018,7943,7077,5873,7032,6387,5268
