176 and Canyon
,Sunday,,,Monday,,,Tuesday,,,Wednesday,,,Thursday,,,Friday,,,Saturday,,
,July 13 2014,,,July 14 2014,,,July 15 2014,,,July 16 2014,,,July 17 2014,,,July 18 2014,,,July 19 2014,,
TIME,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3
0:00,98,135,107,59,86,64,80,117,88,92,131,90,98,125,96,95,123,96,107,139,116
1:00,35,90,60,31,37,27,33,54,38,48,58,32,42,65,33,35,57,34,44,61,48
2:00,26,30,34,23,35,25,33,46,27,27,46,36,22,49,43,30,50,33,39,54,32
3:00,18,29,23,26,40,27,24,41,39,24,41,32,26,46,30,33,42,27,29,30,22
4:00,23,38,17,67,80,54,70,108,67,64,100,60,64,87,71,66,94,65,22,57,30
5:00,31,57,40,228,278,194,227,293,196,245,289,232,205,301,209,223,244,211,61,97,65
6:00,66,96,66,376,484,384,398,516,443,372,518,422,374,491,416,333,432,390,80,138,78
7:00,103,147,123,465,646,542,452,627,555,449,682,604,477,604,532,420,618,543,157,225,150
8:00,126,161,131,457,666,537,440,656,553,427,690,622,417,627,577,410,636,570,199,303,224
9:00,173,261,197,330,477,421,347,497,429,356,539,439,349,498,392,412,508,373,286,383,271
10:00,268,429,295,302,420,319,328,422,316,314,492,396,305,455,371,317,450,353,289,400,333
11:00,276,405,279,280,418,345,301,390,354,278,421,369,266,428,385,325,412,355,339,460,348
12:00,296,382,291,297,350,344,304,369,326,306,365,316,280,365,318,283,441,347,366,434,345
13:00,293,414,289,288,389,349,292,401,366,323,378,365,287,421,355,322,400,333,327,413,309
14:00,259,383,259,320,405,378,304,384,346,297,379,364,327,410,355,347,465,362,316,420,315
15:00,254,322,254,365,463,391,358,430,431,352,432,405,353,455,423,345,515,434,303,458,326
16:00,243,335,268,400,445,427,360,410,422,374,477,398,379,474,390,370,494,410,328,431,282
17:00,258,329,253,348,472,435,377,511,421,397,469,406,379,487,421,358,440,410,301,345,292
18:00,257,356,261,350,394,348,348,418,363,391,426,352,339,454,360,321,403,322,265,333,286
19:00,204,285,211,322,332,285,290,350,276,352,376,282,296,352,291,274,357,293,263,344,283
20:00,146,230,189,196,269,215,176,250,200,196,225,197,203,239,203,241,294,217,201,268,202
21:00,140,200,135,176,166,146,162,195,137,171,200,148,132,180,156,174,215,177,160,223,162
22:00,128,165,123,116,139,134,131,175,136,110,193,132,136,188,140,141,196,142,131,215,142
23:00,83,146,102,117,148,123,108,144,100,97,143,107,119,141,114,133,180,120,115,171,117
TOTAL,3804,5425,4007,5939,7639,6514,5943,7804,6629,6062,8070,6806,5875,7942,6681,6008,8066,6617,4728,6402,4778
