176 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,July 13 2014,,July 14 2014,,July 15 2014,,July 16 2014,,July 17 2014,,July 18 2014,,July 19 2014,
TIME,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50
0:00,233,158,117,83,120,78,141,86,135,94,148,96,197,139
1:00,138,76,83,42,98,48,77,41,80,51,92,41,122,89
2:00,80,52,31,15,51,23,58,28,66,26,64,30,93,59
3:00,59,28,23,14,30,11,48,18,31,19,51,21,48,41
4:00,55,26,34,12,50,14,51,11,43,18,36,27,46,22
5:00,40,20,56,18,60,22,67,25,77,26,65,36,44,22
6:00,65,24,123,69,119,58,120,55,107,64,127,72,67,30
7:00,108,43,194,130,188,131,276,143,190,138,243,149,107,51
8:00,142,77,235,177,251,164,275,184,268,181,285,187,176,107
9:00,237,123,293,210,269,182,328,233,259,208,290,217,295,168
10:00,288,193,343,226,287,224,323,259,337,226,363,263,343,224
11:00,400,272,344,259,355,249,318,228,350,249,392,292,431,299
12:00,454,319,404,299,425,314,430,321,406,303,453,334,506,388
13:00,466,343,454,313,432,297,445,314,464,363,489,381,516,373
14:00,518,356,484,341,455,375,451,341,474,351,508,386,553,421
15:00,467,364,505,410,555,399,524,447,512,443,578,478,543,392
16:00,472,345,662,550,601,561,612,527,632,507,686,558,557,397
17:00,475,321,730,662,734,682,717,688,790,679,725,641,529,401
18:00,463,331,813,735,814,726,778,700,777,709,721,640,496,385
19:00,405,302,655,550,697,565,666,559,658,533,612,527,453,349
20:00,363,253,466,327,484,349,503,370,466,362,473,361,414,290
21:00,325,236,356,251,386,274,416,270,413,293,415,304,347,262
22:00,292,201,293,218,305,238,331,254,293,270,356,281,357,253
23:00,171,138,210,119,241,158,229,149,231,171,251,187,256,210
TOTAL,6716,4601,7908,6030,8007,6142,8184,6251,8059,6284,8423,6509,7496,5372
