176 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,July 13 2014,July 14 2014,July 15 2014,July 16 2014,July 17 2014,July 18 2014,July 19 2014
EAST LEG,11317,13938,14149,14435,14343,14932,12868
NORTH LEG,13236,20092,20376,20938,20498,20691,15908
SOUTH LEG,6158,10813,11309,11113,11131,10731,7434
WEST LEG,6859,8409,8797,8833,9003,9409,7814
TOTAL,37570,53252,54631,55319,54975,55763,44024
