112 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,November 23 2014,,November 24 2014,,November 25 2014,,November 26 2014,,November 27 2014,,November 28 2014,,November 29 2014,
TIME,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50,LN 49,LN 50
0:00,63,75,37,28,44,47,47,64,65,67,62,60,65,73
1:00,41,56,33,22,16,24,26,44,38,48,36,36,37,39
2:00,39,40,13,21,16,22,20,23,39,32,28,31,30,32
3:00,32,31,5,12,10,16,9,14,24,26,30,15,27,22
4:00,17,18,7,11,9,12,11,16,10,18,19,14,11,14
5:00,15,13,19,26,21,27,21,35,12,13,24,30,18,28
6:00,16,14,46,55,62,66,63,63,14,17,40,35,15,19
7:00,22,27,93,121,135,112,91,127,21,47,47,72,35,34
8:00,74,66,142,147,189,147,145,137,56,58,72,97,69,87
9:00,90,189,190,185,198,177,146,186,53,112,147,146,88,212
10:00,193,279,219,250,217,229,238,264,69,129,183,215,222,277
11:00,231,235,247,278,263,279,277,284,108,150,244,273,236,281
12:00,247,330,268,326,238,306,321,347,176,221,276,349,239,345
13:00,341,375,301,320,320,352,359,357,158,231,333,311,363,375
14:00,278,287,293,310,316,313,359,368,194,233,267,343,301,347
15:00,255,261,317,361,324,326,389,376,177,209,292,355,288,369
16:00,198,256,361,398,374,375,412,454,148,175,254,322,293,353
17:00,273,333,394,454,440,429,405,418,149,163,243,324,256,336
18:00,226,274,358,439,334,450,417,418,155,163,173,320,241,283
19:00,160,182,244,328,281,371,312,359,125,130,159,225,189,196
20:00,121,161,215,232,255,268,228,248,142,146,158,174,163,200
21:00,91,119,148,167,161,178,166,221,117,125,125,136,117,143
22:00,83,91,89,118,108,132,106,147,147,183,91,101,86,101
23:00,50,47,52,56,56,69,81,105,98,97,82,84,90,81
TOTAL,3156,3759,4091,4665,4387,4727,4649,5075,2295,2793,3385,4068,3479,4247
