112 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,November 23 2014,November 24 2014,November 25 2014,November 26 2014,November 27 2014,November 28 2014,November 29 2014
EAST LEG,6915,8756,9114,9724,5088,7453,7726
NORTH LEG,18004,26828,26861,27797,18561,20655,19135
SOUTH LEG,17334,24930,25904,26841,18039,19645,18093
WEST LEG,5328,7238,7761,8448,3803,6029,5745
TOTAL,47581,67752,69640,72810,45491,53782,50699
