176 and Canyon
,Sunday,,,Monday,,,Tuesday,,,Wednesday,,,Thursday,,,Friday,,,Saturday,,
,January 04 2015,,,January 05 2015,,,January 06 2015,,,January 07 2015,,,January 08 2015,,,January 09 2015,,,January 10 2015,,
TIME,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3
0:00,79,118,75,52,64,46
1:00,45,67,38,18,35,18
2:00,31,30,37,27,25,18
3:00,18,34,25,24,37,30
4:00,28,38,25,65,95,79
5:00,34,46,32,257,281,264
6:00,46,55,51,354,507,439
7:00,90,138,105,463,680,606
8:00,101,121,93,483,678,615
9:00,153,196,150,1743,2402,2115
