176 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,January 04 2015,January 05 2015,January 06 2015,January 07 2015,January 08 2015,January 09 2015,January 10 2015
EAST LEG,9964,1534
NORTH LEG,11351,6260
SOUTH LEG,5143,2357
WEST LEG,6081,1291
TOTAL,32539,11442
