112 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,May 11 2014,,May 12 2014,,May 13 2014,,May 14 2014,,May 15 2014,,May 16 2014,,May 17 2014,
TIME,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74
0:00,47,60,24,29,28,45,31,28,33,34,34,30,43,68
1:00,29,36,3,10,20,26,20,18,13,20,25,22,30,33
2:00,11,27,5,13,10,10,7,10,9,13,8,10,12,19
3:00,10,24,6,11,10,10,5,9,16,8,7,6,7,20
4:00,6,16,5,13,5,11,9,18,4,17,10,15,9,9
5:00,5,12,10,28,10,34,14,32,8,34,10,32,9,17
6:00,9,15,51,83,47,74,53,80,52,85,39,74,21,24
7:00,21,46,123,148,148,164,109,155,140,172,130,168,26,50
8:00,30,82,230,230,245,272,239,268,232,263,223,276,68,102
9:00,86,213,130,202,150,240,199,284,154,221,146,227,99,174
10:00,121,197,152,224,141,229,187,263,155,240,162,267,132,243
11:00,136,269,165,265,136,245,168,261,161,264,157,290,156,283
12:00,159,321,168,319,165,290,198,362,178,287,213,355,207,356
13:00,210,347,205,330,201,333,188,293,187,316,223,349,235,382
14:00,188,325,201,287,188,297,198,321,156,316,219,350,217,350
15:00,195,284,235,302,208,312,214,305,236,306,226,309,221,321
16:00,166,288,240,319,221,320,245,340,249,313,264,352,225,315
17:00,171,257,295,336,215,295,251,349,276,322,267,368,233,318
18:00,151,241,221,289,224,338,233,313,242,297,259,355,200,329
19:00,140,236,191,247,204,295,193,268,177,287,199,296,152,245
20:00,119,190,132,210,171,234,138,213,160,244,179,236,121,204
21:00,92,134,99,159,118,177,107,167,137,174,128,168,86,160
22:00,73,99,73,106,81,91,79,126,86,120,79,163,84,122
23:00,47,64,43,51,38,56,48,75,52,66,72,112,58,97
TOTAL,2222,3783,3007,4211,2984,4398,3133,4558,3113,4419,3279,4830,2651,4241
