112 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,May 11 2014,May 12 2014,May 13 2014,May 14 2014,May 15 2014,May 16 2014,May 17 2014
EAST LEG,7989,9092,9246,9162,9175,9459,8390
NORTH LEG,21196,28361,29043,28983,28578,29438,23602
SOUTH LEG,20457,26634,27222,27641,26753,27359,22422
WEST LEG,6005,7218,7382,7691,7532,8109,6892
TOTAL,55647,71305,72893,73477,72038,74365,61306
