112 and Canyon
,Sunday,,,Monday,,,Tuesday,,,Wednesday,,,Thursday,,,Friday,,,Saturday,,
,May 11 2014,,,May 12 2014,,,May 13 2014,,,May 14 2014,,,May 15 2014,,,May 16 2014,,,May 17 2014,,
TIME,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3
0:00,143,121,136,93,64,90,120,88,135,111,62,139,122,75,131,112,82,136,151,145,190
1:00,74,77,97,49,47,53,44,44,57,48,39,60,50,41,51,66,49,64,83,79,71
2:00,72,63,71,17,19,43,37,21,50,27,22,44,39,32,51,37,34,52,64,38,40
3:00,38,44,51,33,40,61,40,34,67,36,22,75,41,29,78,35,24,89,26,41,57
4:00,29,32,43,69,61,153,72,63,160,60,80,160,49,62,153,70,65,158,35,43,64
5:00,30,32,74,184,202,520,196,232,525,202,224,517,232,222,535,205,199,481,74,48,140
6:00,88,73,111,544,521,803,557,563,796,548,552,805,551,539,787,492,515,720,136,133,256
7:00,127,120,185,744,773,874,800,820,904,765,796,850,751,810,843,735,740,863,263,198,291
8:00,196,138,225,824,926,810,898,937,843,835,910,816,826,908,799,736,854,784,348,291,449
9:00,279,223,323,722,760,632,788,769,667,723,808,669,694,712,655,701,693,643,489,387,504
10:00,488,457,484,576,592,564,584,644,557,618,606,575,582,597,586,597,611,519,500,435,568
11:00,533,548,531,483,472,504,446,496,472,471,463,478,496,485,474,513,495,487,498,514,527
12:00,503,510,520,459,494,441,463,484,431,489,462,458,461,469,462,469,528,498,517,548,534
13:00,547,571,482,455,469,463,472,472,475,459,485,446,458,450,484,466,492,493,529,605,504
14:00,548,567,493,466,494,545,468,486,538,458,537,529,445,479,515,439,502,500,516,547,501
15:00,465,483,509,478,548,530,516,594,543,484,595,545,498,550,521,518,632,547,446,527,525
16:00,411,448,520,521,577,634,480,620,566,484,581,575,514,577,530,505,624,617,451,489,538
17:00,423,557,584,470,587,585,444,543,555,480,637,621,475,572,483,511,623,554,516,633,545
18:00,388,480,553,386,484,577,421,548,567,439,557,542,450,511,510,473,566,514,468,529,490
19:00,375,373,443,331,434,454,367,424,471,380,407,467,387,436,498,461,513,489,383,419,421
20:00,347,324,367,240,285,295,263,270,320,265,266,314,313,293,330,353,345,417,364,306,372
21:00,294,287,338,204,236,274,223,202,254,239,223,270,224,240,256,279,243,293,246,254,292
22:00,219,198,272,203,180,257,196,186,257,222,200,232,192,179,257,253,202,270,256,211,284
23:00,167,107,167,121,117,145,135,114,149,148,103,168,149,135,187,218,168,207,234,199,227
TOTAL,6784,6833,7579,8672,9382,10307,9030,9654,10359,8991,9637,10355,8999,9403,10176,9244,9799,10395,7593,7619,8390
