112 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,June 08 2014,June 09 2014,June 10 2014,June 11 2014,June 12 2014,June 13 2014,June 14 2014
EAST LEG,7809,8911,9009,9348,9167,9428,8606
NORTH LEG,19930,27803,28369,28675,29015,29232,23851
SOUTH LEG,19760,25159,26033,26905,26530,27969,23652
WEST LEG,5680,7336,7483,7556,7536,8255,7059
TOTAL,53179,69209,70894,72484,72248,74884,63168
