176 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,November 09 2014,,November 10 2014,,November 11 2014,,November 12 2014,,November 13 2014,,November 14 2014,,November 15 2014,
TIME,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74
0:00,95,90,41,37,75,73,57,61,60,61,66,74,90,101
1:00,50,46,22,28,42,60,36,33,28,42,32,51,61,63
2:00,25,35,10,14,19,24,27,26,32,32,25,27,30,41
3:00,20,19,6,9,16,24,10,17,13,17,10,24,23,19
4:00,23,19,9,7,21,19,11,12,17,18,9,20,13,14
5:00,11,13,28,23,12,38,38,44,48,36,40,41,14,14
6:00,27,26,55,83,44,59,133,182,141,164,132,172,37,44
7:00,34,57,162,197,78,83,198,260,212,264,187,254,50,62
8:00,52,63,235,240,121,150,237,298,281,329,254,323,85,99
9:00,132,109,189,220,161,121,243,232,217,256,222,243,114,119
10:00,157,150,147,175,177,164,229,202,173,167,183,222,192,166
11:00,167,200,212,213,227,226,233,206,206,188,225,202,226,227
12:00,208,223,220,228,224,238,242,233,207,222,265,242,273,306
13:00,266,285,237,249,277,248,267,247,210,203,274,268,350,304
14:00,292,311,271,294,337,282,321,252,256,249,309,304,339,314
15:00,209,244,324,318,364,318,356,287,302,325,355,318,391,359
16:00,218,249,369,392,364,343,413,366,360,371,411,368,376,328
17:00,228,251,369,412,323,393,362,413,349,370,405,460,317,360
18:00,256,275,346,456,385,412,346,383,394,423,376,457,338,373
19:00,224,242,323,385,330,339,334,358,273,331,352,393,241,317
20:00,199,162,231,241,217,253,266,273,221,274,269,288,186,236
21:00,113,143,171,192,190,184,177,196,158,190,192,212,184,221
22:00,70,83,143,127,127,116,120,148,152,125,156,169,155,153
23:00,66,57,76,95,99,92,88,83,81,95,126,127,112,101
TOTAL,3142,3352,4196,4635,4230,4259,4744,4812,4391,4752,4875,5259,4197,4341
