176 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,November 09 2014,,November 10 2014,,November 11 2014,,November 12 2014,,November 13 2014,,November 14 2014,,November 15 2014,
TIME,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26
0:00,115,101,55,76,117,112,109,109,89,102,98,95,117,96
1:00,83,42,43,29,58,36,53,30,45,29,51,28,73,40
2:00,46,31,23,17,26,20,25,19,45,23,45,23,45,24
3:00,37,18,27,17,35,16,36,15,32,22,31,12,37,19
4:00,20,12,47,21,46,39,51,45,38,42,48,39,29,15
5:00,32,38,85,113,101,129,103,129,117,117,99,119,48,49
6:00,64,71,282,313,261,293,249,293,263,333,239,288,86,99
7:00,68,38,296,292,256,281,312,319,308,303,279,287,71,89
8:00,44,38,320,234,234,189,326,234,315,256,316,242,85,53
9:00,63,41,217,173,212,156,238,202,236,174,220,179,108,71
10:00,99,58,214,144,232,138,265,140,218,171,246,140,177,103
11:00,153,76,229,176,251,144,247,160,227,209,236,167,225,123
12:00,177,110,260,205,268,217,338,211,91,319,314,199,270,177
13:00,237,198,285,250,264,216,283,217,142,362,304,247,259,198
14:00,262,211,342,321,316,334,316,337,287,329,334,367,307,261
15:00,233,186,404,438,366,438,403,497,362,390,397,466,330,345
16:00,211,157,426,386,453,387,425,416,411,381,436,422,307,248
17:00,259,157,504,443,482,432,517,447,534,450,502,431,304,251
18:00,289,186,559,460,538,396,544,423,558,452,513,407,336,234
19:00,210,180,394,319,389,324,434,354,363,334,443,343,268,203
20:00,179,147,264,187,293,213,282,207,275,221,282,212,220,151
21:00,176,115,199,142,222,143,226,153,212,156,216,155,196,153
22:00,101,64,145,110,158,120,185,130,162,122,157,131,149,116
23:00,97,111,136,127,103,119,130,141,144,133,156,132,152,126
TOTAL,3255,2386,5756,4993,5681,4892,6097,5228,5474,5430,5962,5131,4199,3244
