176 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,November 09 2014,November 10 2014,November 11 2014,November 12 2014,November 13 2014,November 14 2014,November 15 2014
EAST LEG,10674,14196,13622,15162,14543,15992,13645
NORTH LEG,12128,19598,19683,20791,20031,21208,16711
SOUTH LEG,5641,10749,10573,11325,10904,11093,7443
WEST LEG,6494,8831,8489,9556,9143,10134,8538
TOTAL,34937,53374,52367,56834,54621,58427,46337
