112 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,November 16 2014,November 17 2014,November 18 2014,November 19 2014,November 20 2014,November 21 2014,November 22 2014
EAST LEG,7388,8786,8708,8803,8865,8919,8409
NORTH LEG,18663,27305,27211,27391,27636,28108,22528
SOUTH LEG,18006,25548,25834,26209,26459,26560,22136
WEST LEG,5325,7295,7246,7141,7256,7769,6920
TOTAL,49382,68934,68999,69544,70216,71356,59993
