176 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,July 20 2014,,July 21 2014,,July 22 2014,,July 23 2014,,July 24 2014,,July 25 2014,,July 26 2014,
TIME,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26
0:00,118,100,75,85,106,105,130,107,125,102,120,117,159,124
1:00,88,69,50,33,71,46,65,40,58,30,72,41,108,58
2:00,60,37,27,17,46,28,47,36,46,25,53,32,70,38
3:00,40,32,22,9,34,15,48,11,40,12,37,16,44,25
4:00,22,19,53,39,50,42,46,59,34,57,41,54,30,15
5:00,33,30,101,91,119,104,113,111,105,97,100,88,59,36
6:00,76,100,328,351,348,371,327,352,317,355,282,290,116,80
7:00,55,66,243,271,256,272,247,276,256,279,247,249,77,68
8:00,58,25,263,212,285,205,266,231,264,251,252,204,81,67
9:00,65,43,224,163,194,170,183,168,217,167,186,142,124,76
10:00,98,56,199,135,216,145,188,134,197,145,227,152,141,89
11:00,143,80,201,192,223,155,202,141,210,168,205,156,203,137
12:00,170,102,266,210,232,174,237,188,223,209,267,226,245,180
13:00,196,160,292,235,324,256,291,206,303,272,317,284,259,197
14:00,255,207,281,302,328,325,297,290,315,331,307,282,296,217
15:00,280,235,375,373,368,388,354,388,362,383,381,380,303,254
16:00,246,170,412,399,410,356,415,326,413,359,378,351,286,210
17:00,266,182,464,423,489,421,464,387,482,451,434,394,283,215
18:00,288,200,516,412,550,429,570,451,526,448,498,440,320,221
19:00,252,173,395,355,415,339,389,330,407,328,360,344,284,204
20:00,201,154,272,239,310,229,287,229,308,254,283,214,252,177
21:00,185,134,240,179,216,202,256,194,249,184,243,183,229,174
22:00,150,107,200,131,186,146,179,152,203,151,223,137,201,130
23:00,122,104,159,150,155,153,131,148,170,145,210,147,226,143
TOTAL,3467,2585,5658,5006,5931,5076,5732,4955,5830,5203,5723,4923,4396,3135
