176 and Canyon
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
,July 20 2014,July 21 2014,July 22 2014,July 23 2014,July 24 2014,July 25 2014,July 26 2014
EAST LEG,11081,13864,13922,13340,13886,14938,12847
NORTH LEG,12776,19919,19746,19387,20212,20952,16501
SOUTH LEG,6052,10664,11007,10687,11033,10646,7531
WEST LEG,6899,8541,8594,8302,8650,9624,8264
TOTAL,36808,52988,53269,51716,53781,56160,45143
