176 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,July 20 2014,,July 21 2014,,July 22 2014,,July 23 2014,,July 24 2014,,July 25 2014,,July 26 2014,
TIME,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74,LN 73,LN 74
0:00,105,107,39,67,85,81,70,95,76,76,90,80,111,126
1:00,68,69,30,30,31,45,37,43,33,46,46,40,54,77
2:00,55,47,21,13,19,20,20,17,23,26,23,27,46,42
3:00,31,31,11,16,14,18,24,16,18,17,23,26,13,15
4:00,14,17,13,16,15,15,18,21,21,26,13,18,17,22
5:00,12,23,18,15,27,27,27,29,26,22,24,24,16,27
6:00,14,24,124,152,120,145,118,147,98,142,109,144,37,31
7:00,44,49,170,229,195,230,200,214,198,212,173,217,69,55
8:00,59,70,174,210,182,228,191,223,193,230,208,186,68,87
9:00,100,105,176,186,186,208,177,193,196,174,179,145,135,116
10:00,132,139,154,133,165,142,150,150,159,183,169,168,165,160
11:00,172,194,163,176,163,155,163,173,144,181,198,206,188,210
12:00,196,236,221,251,203,218,206,194,193,199,227,247,259,272
13:00,223,272,220,266,224,233,211,239,219,224,266,266,272,292
14:00,216,296,212,247,197,267,208,259,222,238,289,289,307,294
15:00,272,283,306,262,269,294,265,263,286,291,314,316,321,322
16:00,262,284,323,326,297,354,330,288,280,341,397,369,308,306
17:00,233,282,385,358,342,362,337,360,374,346,388,381,305,314
18:00,240,276,342,389,355,361,349,379,377,379,364,398,264,324
19:00,234,257,297,362,299,344,271,282,316,348,354,420,254,306
20:00,167,226,234,266,222,265,236,258,233,261,260,311,219,282
21:00,149,162,181,198,197,194,186,185,210,237,241,257,192,242
22:00,144,120,175,163,174,185,163,142,168,165,205,223,203,204
23:00,87,101,113,108,115,107,83,92,105,118,141,165,149,166
TOTAL,3229,3670,4102,4439,4096,4498,4040,4262,4168,4482,4701,4923,3972,4292
