176 and Canyon
,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,
,June 08 2014,,June 09 2014,,June 10 2014,,June 11 2014,,June 12 2014,,June 13 2014,,June 14 2014,
TIME,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26,LN 25,LN 26
0:00,170,116,101,81,123,106,114,98,103,118,150,102,155,92
1:00,98,54,40,35,61,43,59,20,69,32,76,49,92,62
2:00,58,45,25,13,48,20,41,21,54,20,59,29,76,39
3:00,46,27,40,12,39,15,43,22,43,24,28,14,43,21
4:00,25,20,39,40,51,43,60,61,43,53,46,48,30,25
5:00,29,35,127,96,130,99,126,109,130,112,114,93,48,28
6:00,76,81,307,322,334,347,313,339,306,343,247,304,138,115
7:00,64,60,306,299,314,310,276,326,287,314,263,312,82,79
8:00,55,35,258,216,283,229,257,217,284,242,289,244,72,43
9:00,76,43,219,179,209,177,220,165,233,164,214,175,103,65
10:00,90,69,212,166,226,155,212,168,229,195,186,188,145,113
11:00,139,93,218,158,217,177,211,178,229,181,214,163,183,129
12:00,200,125,260,218,293,209,249,193,264,213,277,234,250,199
13:00,233,175,281,215,261,223,297,270,295,259,316,252,271,207
14:00,280,205,313,319,319,324,331,344,343,319,335,341,301,240
15:00,276,209,386,391,364,384,401,409,410,413,372,379,348,292
16:00,259,199,426,359,415,377,473,412,406,373,423,392,351,251
17:00,281,187,513,471,494,449,505,433,500,460,485,408,331,227
18:00,288,204,562,449,571,490,565,499,548,460,537,443,345,245
19:00,277,196,400,340,429,388,393,349,409,362,391,337,311,218
20:00,227,179,286,231,310,242,327,256,341,268,306,248,242,166
21:00,198,154,208,154,276,189,246,201,228,195,243,179,230,161
22:00,146,110,165,129,214,157,227,185,201,163,204,127,241,151
23:00,138,125,150,151,148,137,167,141,256,197,223,156,160,112
TOTAL,3729,2746,5842,5044,6129,5290,6113,5416,6211,5480,5998,5217,4548,3280
