176 and Canyon
,Sunday,,,Monday,,,Tuesday,,,Wednesday,,,Thursday,,,Friday,,,Saturday,,
,June 08 2014,,,June 09 2014,,,June 10 2014,,,June 11 2014,,,June 12 2014,,,June 13 2014,,,June 14 2014,,
TIME,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3,LN 1,LN 2,LN 3
0:00,92,106,66,46,74,35,92,126,76,89,113,86,87,117,101,106,107,103,105,153,114
1:00,50,83,51,22,34,34,34,50,27,35,49,34,44,59,35,43,41,29,42,71,56
2:00,30,42,49,24,23,25,30,45,28,27,38,31,31,44,31,37,28,32,36,42,30
3:00,24,23,14,17,23,23,22,40,33,26,38,26,32,40,35,24,32,25,23,38,28
4:00,20,25,15,64,92,59,65,83,69,62,96,62,65,91,60,62,96,63,22,58,33
5:00,32,50,30,227,274,216,239,272,233,205,289,227,206,269,207,209,257,201,59,76,52
6:00,57,95,62,322,480,415,376,513,421,376,527,427,370,494,391,341,399,367,104,124,76
7:00,101,156,104,434,711,563,467,728,613,462,739,587,467,705,617,464,637,517,154,207,159
8:00,123,155,119,452,699,565,473,686,584,464,665,595,468,644,587,464,614,577,219,297,219
9:00,159,235,165,388,492,389,389,500,418,351,506,427,375,512,438,365,510,435,272,385,292
10:00,284,378,247,322,440,359,333,424,305,350,389,368,349,446,381,380,521,384,338,385,338
11:00,260,398,269,292,392,329,293,385,362,291,392,318,271,383,347,342,393,365,327,449,324
12:00,283,402,276,305,370,318,304,346,308,305,348,318,301,382,317,317,406,363,305,498,365
13:00,324,418,285,292,406,342,274,371,346,303,360,335,355,501,381,328,410,382,349,460,364
14:00,313,402,295,311,420,352,292,369,320,342,383,328,304,455,378,319,445,387,317,424,332
15:00,304,419,277,368,476,445,361,488,431,392,487,439,331,484,419,374,514,470,363,420,314
16:00,296,390,280,363,476,436,384,501,421,401,499,477,385,511,486,370,507,465,316,423,323
17:00,321,414,254,401,494,425,350,472,408,393,502,464,376,480,458,368,446,388,325,452,356
18:00,340,402,264,344,408,356,356,407,376,307,463,385,323,441,383,352,469,390,314,408,318
19:00,253,330,215,311,322,282,290,311,275,277,326,286,287,373,321,310,377,313,252,366,304
20:00,204,218,186,212,237,205,198,246,186,200,261,212,207,234,176,231,276,229,206,272,187
21:00,182,171,162,142,206,154,153,189,133,183,213,178,160,184,126,184,232,160,190,231,167
22:00,126,173,127,118,163,92,118,154,102,123,186,133,106,162,114,152,206,151,160,226,156
23:00,95,119,98,115,114,83,104,139,87,105,140,64,96,119,96,138,179,132,149,179,124
TOTAL,4273,5604,3910,5892,7826,6502,5997,7845,6562,6069,8009,6807,5996,8130,6885,6280,8102,6928,4947,6644,5031
